,County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,FMNP,Operating Months,Latitude,Longitude,SNAP,Location Points
51,Bronx,Harvest Home Co-op City Farm Stand,Asch Loop & Aldrich Ave.,199 Aldrich St.,Bronx,NY,10475,Maritza Owens,2128283361.0,http://www.harvesthomefm.org,Wednesday  8am-4pm,June 6-November 21,Y,M,40.87025,-73.83097,Y,"(40.87025, -73.83097)"
52,Bronx,Harvest Home Hunts Point Farm Stand,"Monsignor Del Valle Park, btwn Southern & Bruckner Blvds.",925 Hunts Point Ave.,Bronx,NY,10474,Maritza Owens,2128283361.0,http://www.harvesthomefm.org,Wednesday  8am-4pm,June 6-November 21,Y,M,40.82073,-73.89088000000001,Y,"(40.82073, -73.89088)"
53,Bronx,Harvest Home Jacobi  Hospital Tues Farmers' Market,1400 Pelham Parkway,1400 Pelham Pkwy,Bronx,NY,10461,Maritza Owens,2128283361.0,http://www.harvesthomefm.org,Tue  8am-4pm,June 5-November 23,Y,M,40.85431,-73.8467,Y,"(40.85431, -73.8467)"
54,Bronx,Harvest Home Jacobi Hospital Fri Farmers Market,1400 Pelham Parkway,1400 Pelham Parkway,Bronx,NY,10461,Maritza Owens,2128283361.0,http://www.harvesthomefm.org,Fri  8am-4pm,June 5-November 23,Y,M,40.85738,-73.84631,Y,"(40.85738, -73.84631)"
55,Bronx,Harvest Home Mt. Eden Farmers' Market,Claremont Park Mt. Eden & Morris Aves.,Mt Eden Pkwy and Morris Ave,Bronx,NY,10457,Maritza Owens,2128283361.0,http://www.harvesthomefm.org,Tue/Thu  8am-4pm,June 5-November 22,Y,M,40.84305,-73.90947,Y,"(40.84305, -73.90947)"
56,Bronx,Harvest Home N Central Bronx Farmers' Market,Mosholu Parkway & Jerome Ave.,Jerome Ave and East Mosholu Pkwy North,Bronx,NY,10467,Maritza Owens,2128283361.0,http://www.harvesthomefm.org,Wednesday  8am-4pm,June 6-November 21,Y,M,40.88046,-73.88385,Y,"(40.88046, -73.88385)"
57,Bronx,Harvest Home St. Marys Park Farm Stand,149th St. btwn St. Ann & Jackson Aves.,646 E 149th St,Bronx,NY,10455,Maritza Owens,2128283361.0,http://www.harvesthomefm.org,Thursday  8am-4pm,June 7-November 22,Y,M,40.810990000000004,-73.91173,Y,"(40.81099, -73.91173)"
58,Bronx,Healthy Choice Farmers' Market Farm Stand,1434 Longfellow Ave. Bronx,1434 Longfellow Ave.,Bronx,NY,10459,Sandy Helms,7185893060.0,,Thu  11:30am-1:00pm,April 12-August 9,Y,P/M,40.830746000000005,-73.886882,N,"(40.830746, -73.886882)"
59,Bronx,La Familia Verde Farmers' Market,"Tremont Park on Tremont Ave., btwn LaFontaine & Arthur Aves.",East Tremont Ave and Arthur Ave,Bronx,NY,10457,Heidi Hynes,7185831765.0,http://www.lafamiliaverde.org,Tuesday  8am-3pm,July 10-November 13,Y,M,40.84643,-73.89334000000001,Y,"(40.84643, -73.89334)"
60,Bronx,"Learn it, Grow it, Eat it Youthmarket",169th St. & Boston Rd. at McKinley Square,E. 169th St. and Boston Rd.,Bronx,NY,10456,Kori Petrovic,2127887900.0,http://www.grownyc.org/youthmarket,Wednesday  10am-3pm,July 11-November 21,Y,M,40.83121,-73.90021999999999,Y,"(40.83121, -73.90022)"
61,Bronx,Lincoln Hospital Fri Greenmarket,149th St btwn Park and Morris Aves Bronx,East 149th St and Morris Ave,Bronx,NY,10451,Pam Knepper,2127887900.0,http://www.grownyc.org/greenmarket,Friday  8am-3pm,June 29-November 16,Y,M,40.8174,-73.92276,Y,"(40.8174, -73.92276)"
62,Bronx,Lincoln Hospital Tue Greenmarket,149th St btwn Park and Morris Aves Bronx,East 149th St and Morris Ave,Bronx,NY,10451,Pam Knepper,2127887900.0,http://www.grownyc.org/greenmarket,Tuesday  8am-3pm,June 13-November 20,Y,M,40.81739,-73.92274,Y,"(40.81739, -73.92274)"
63,Bronx,Mott Haven Farm Stand,545 East 142nd St. Bronx,545 East 142nd Street,Bronx,NY,10454,Carolina Espinosa,7185083098.0,http://www.bronxworks.org,Monday  10am-4pm,July 9-November 20,Y,M,40.80979,-73.91585,Y,"(40.80979, -73.91585)"
64,Bronx,New Roots Community Farm Stand,670 Grand Concourse  Bronx,670 Grand Concourse,Bronx,NY,10451,Kathleen McTigue,2123774747.0,http://rescue.org,Tuesday  3pm-7pm,July 10-October 30,Y,M,40.82172,-73.92524,N,"(40.82172, -73.92524)"
65,Bronx,Norwood Youthmarket,E Gun Hill Rd. & Dekalb Ave.,Dekalb Ave. and East Gun Hill Rd.,Bronx,NY,10467,Kori Petrovic,2127887900.0,http://www.grownyc.org/youthmarket,Thursday  12pm-7pm,July 5-November 15,Y,M,40.88223,-73.88048,Y,"(40.88223, -73.88048)"
66,Bronx,Parkchester Greenmarket,Westchester Ave. & White Plains Rd.,Westchester Ave and White Plains Rd,Bronx,NY,10472,Pam Knepper,2127887900.0,http://www.grownyc.org/greenmarket,Friday  8am-4pm,June 15-November 30,Y,M,40.833009999999994,-73.86277,Y,"(40.83301, -73.86277)"
67,Bronx,Poe Park Greenmarket,E 192nd St. btwn Grand Concourse & Valentine Ave.,200 E. 192nd St,Bronx,NY,10458,Pam Knepper,2127887900.0,http://www.grownyc.org/greenmarket,Tuesday  8am-3pm,June 26-November 27,Y,M,40.86412,-73.8955,Y,"(40.86412, -73.8955)"
68,Bronx,PS 721X Farm Stand,2697 Westchester Ave.,2697 Westchester Av.,Bronx,NY,10461,Jeremy Kottkamp,9175976404.0,,Thursday  9:30am-12:30pm,July 12-November 1,Y,M,40.84248,-73.83865,N,"(40.84248, -73.83865)"
69,Bronx,South Bronx Farmers' Market,330 East 138th St btwn Willis & Alexander Aves. Bronx,330-398 East 138th Street,Bronx,NY,10454,Lily Kesselman,9175327884.0,http://www.southbronxfarmersmarket.com,Wed/Sat  10am-4pm,June 30-November 21,Y,M,40.809129999999996,-73.92296999999999,Y,"(40.80913, -73.92297)"
70,Bronx,Wholesale Greenmarket,290 Halleck St. at Viele Ave.,Halleck Street and Viele Avenue,Bronx,NY,10474,Pam Knepper,2127887900.0,https://www.grownyc.org/wholesale,Tue-Sat  2am-8am,April 11-November 17,Y,P/M,40.807520000000004,-73.87989,N,"(40.80752, -73.87989)"
71,Bronx,YMPJ Mercado Farm Stand,1355 Westchester Avenue,1355 Westchester Ave,Bronx,NY,10472,"David Shuffler, Jr.",7183285622.0,http://www.ympj.org,Saturday  5pm-8pm,July 14-October 31,Y,M,40.82832,-73.88426,N,"(40.82832, -73.88426)"
72,Broome,Broome Co Regional Sat Farmers' Market,840 Upper Front St. Binghamton,840 Upper Front St.,Binghamton,NY,13905,Amy Willis,6075845019.0,http://www.bcregionalmkt.com,Saturday  9am-1pm,Year-round,Y,YR,42.12921,-75.90609,Y,"(42.12921, -75.90609)"
73,Broome,Broome Co Regional Sun Farmers Market,840 Upper Front St. Binghamton,840 Upper Front St.,Binghamton,NY,13905,Amy Willis,6075845019.0,,Sunday 11am-2pm,July 15-September 30,Y,M,42.12921,-75.90609,Y,"(42.12921, -75.90609)"
74,Broome,Broome Co Regional Tue Farmers' Market,840 Upper Front St. Binghamton,840 Upper Front St.,Binghamton,NY,13905,Amy Willis,6075845019.0,http://www.bcregionalmkt.com,Tuesday  3pm-6pm,June-August,Y,M,42.12921,-75.90609,Y,"(42.12921, -75.90609)"
75,Broome,CHOW MM-ABC Apts,100 Chenango St. Binghamton,100 Chenango St,Binghamton,NY,13901,Jack Seman,6077249130.0,http://www.broomecouncil.net,Tuesday 11:30am-1pm,Year-round,Y,YR,42.10179,-75.90955,Y,"(42.10179, -75.90955)"
76,Broome,CHOW MM-Binghmaton Plaza,33 W State St. Binghamton,33 W State st.,Binghamton,NY,13901,Jack Seman,6077249130.0,http://www.broomecouncil.net,M/F 1pm-3pm,Year-round,Y,YR,42.10925,-75.90552,N,"(42.10925, -75.90552)"
77,Broome,CHOW MM-Broome County Library,185 Court St. Binghamton,185 Court St.,Binghamton,NY,13901,Jack Seman,6077249130.0,http://www.broomecouncil.net,Mon/Wed/Fri 9am-11:30am,Year-round,Y,YR,42.099990000000005,-75.90674,N,"(42.09999, -75.90674)"
78,Broome,CHOW MM-First Ward Senior Ctr,226 Clinton St. Binghamton,226 Clinton St,Binghamton,NY,13905,Jack Seman,6077249130.0,http://www.broomecouncil.net,Tuesday 9am-10:30am,Year-round,Y,YR,42.10687,-75.93015,N,"(42.10687, -75.93015)"
79,Broome,CHOW MM-Johnson City Senior Center,30 Brocton St. Johnson City,30 Brocton St.,Johnson City,NY,13790,Jack Seman,6077249130.0,http://www.broomecouncil.net,Thursday 10:30am-11:45am,Year-round,Y,YR,42.11849,-75.95493,N,"(42.11849, -75.95493)"
80,Broome,CHOW MM-Lee Barta Center,108 Liberty St. Binghamton,108 Liberty St,Binghamton,NY,13901,Jack Seman,6077249130.0,http://www.broomecouncil.net,Thursday 1pm-3:30pm,Year-round,Y,YR,42.10911,-75.89979,N,"(42.10911, -75.89979)"
81,Broome,CHOW MM-Town&Country Apts,100 Roberts St. Binghamton,100 Robers St,Binghamton,NY,13901,Jack Seman,6077249130.0,http://www.broomecouncil.net,Wednesday 1pm-3pm,Year-round,Y,YR,42.1093,-75.90168,N,"(42.1093, -75.90168)"
82,Broome,Deposit Farmers' Market,"First United Methodist Church WIC Clinic , 107 Second St.",107 Second St,Deposit,NY,13754,Jeanne Darling,6078656531.0,http://www.ccedelaware.org,Thursday  10am-2pm,Aug 16 & Sep 20,Y,M,42.061659999999996,-75.42605,N,"(42.06166, -75.42605)"
83,Broome,Koo Koose Farmers' Market,Village Memorial Park Front St. Deposit,149 Front Street,Deposit,NY,13754,Dorothy Crantz,6074672956.0,http://www.depositchamber.com/farmers-market,Saturday  9am-1pm,June 23-September 8,Y,M,42.061003,-75.425572,N,"(42.061003, -75.425572)"
84,Broome,Vestal Farmers' Market,"Library parking lot, near museum, 320 Vestal Pkwy East (Rt. 434)",320 Vestal Pkwy East,Vestal,NY,13850,MaKenzie Darrow,6072065742.0,https://www.facebook.com/VestalFarmersMarket,Sat/Wed  9am-1pm,May 26-November 21,Y,P/M,42.087322,-76.04567800000001,N,"(42.087322, -76.045678)"
85,Cattaraugus,Canaseraga Farmers' Market,"Firemans Memorial Park, Main Street across from school",4-8 Main Street,Canaseraga,NY,14822,Sue Paine,6075458311.0,,Saturday 9am-1pm,June-October,N,M,42.46131,-77.77724,N,"(42.46131, -77.77724)"
86,Cattaraugus,Canticle Farm Stand,3809 Old State Road Allegany,3809 Old State Road,Allegany,NY,14706,Mark Printz,7163789714.0,http://www.canticlefarm.org,"Tue/Fri  2pm-6pm, Dec-June: Tuesday only",Year-round,Y,YR,42.09601,-78.50618,Y,"(42.09601, -78.50618)"
87,Cattaraugus,Franklinville Farmers' Market,13 Park Square Rt 16,13 Park Sq,Franklinville,NY,14737,Phyllis Couture,7169423710.0,,Wednesday  3pm-6pm,June 20-September 19,Y,M,42.337720000000004,-78.45770999999999,Y,"(42.33772, -78.45771)"
88,Cattaraugus,Little Valley Shady Roost Farm Stand,Village Park Little Valley,First Street,Little Valley,NY,14755,Cindy Lauer,7165322955.0,,Thursday 11am-2pm,July 5-September 27,Y,M,42.24889,-78.78556999999999,N,"(42.24889, -78.78557)"
89,Cattaraugus,Miller's Farm Market,1685 Olean Portville Rd. Olean,1685 Olean Portville Rd.,Olean,NY,14760,Keith Miller,7163722521.0,,"Mon-Sat  9am-6pm, Sunday  9am-5pm",April-December,Y,P/M/X,42.071439,-78.39814,N,"(42.071439, -78.39814)"
90,Cattaraugus,Olean Southern Tier Farmers' Market,Tractor Supply Store 1900 Constitution Ave.,1900 Constitution Ave,Olean,NY,14760,Phyllis Couture,7169423710.0,,Friday  2pm-6pm,May 25-October 26,Y,P/M,42.08294,-78.45503000000001,Y,"(42.08294, -78.45503)"
91,Cattaraugus,R.E.A.P. Olean Farmers' Market,Olean Mall  400 N. Union St.,400 N. Union St.,Olean,NY,14760,Geoff Buckner,7169337100.0,http://www.oleanfarmersmarket.com,Saturday  8am-1pm,May 12-October 27,Y,P/M,42.083290000000005,-78.42987,Y,"(42.08329, -78.42987)"
